Name,Organization
Betty Rebellato,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Nicolas Lapointe,Canadian Wildlife Federation
Sarah Sra,Canadian Wildlife Federation
Colin McGregor,Department of Fisheries and Oceans Canada
Guy Scharf,Department of Fisheries and Oceans Canada
Thomas Gristey,Department of Fisheries and Oceans Canada
Simon Norris,Hillcrest Geographics
Brian Englund,Horsefly River Roundtable
Helen Englund,Horsefly River Roundtable
Judy Hillaby,Horsefly River Roundtable
Mike Ramsay,"Ministry of Forests, Lands and Natural Resource Operations"
Kate Hewitt,Northern Shuswap Tribal Council
Edna Boston,Soda Creek Indian Band
Mike Stinson,Soda Creek Indian Band
John Walker,Williams Lake First Nation
Nishitha Singi,Williams Lake First Nation
Josh Noseworthy,Global Conservation Solutions
